registry_id,brand_or_program,distribution_type,product_scope,known_panel_source,quote_url,public_phone_route,licensed_intermediary,requirements,distinct_rate_source_id,automation_notes,status,last_verified_at,source_citation
the_personal,The Personal,affinity,affinity,The Personal Insurance Company (Desjardins group),https://www.thepersonal.com/en/auto-insurance,The Personal public sales line,,membership,the_personal,Group/affinity quote route [18].,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
rates_ca,Rates.ca,aggregator,standard_PPA,"Broad panel, insurer API + industry-rater connectivity per brief [9]",https://rates.ca/auto-insurance,,Rates.ca,,rates_ca,Broad online comparison. MVP ROUTE.,active_mvp,2026-08-10,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
lowestrates_ca,LowestRates.ca,aggregator,standard_PPA,"CAA, Coachman, Economical, Gore, Pafco, Pembridge, SGI, Travelers, Zenith per brief [10]",https://www.lowestrates.ca/auto-insurance,,LowestRates.ca,,rates_ca,"CONFIRMED duplicate of rates_ca, not just a suspected overlap — verified by manually running the identical applicant/coverage on both sites and getting identical results back, same backend with different branding on top. Not planned or attempted as its own route; rates_ca already covers this rate source.",duplicate_rate_source,2026-08-10,"Manual side-by-side test by the applicant (identical results on both sites), 2026-08-10"
surex,Surex,broker,standard_PPA,"Aviva, Intact, Jevco, Wawanesa, CAA, Coachman, Definity/Economical, Gore, Pafco, Pembridge, SGI, Travelers per brief [11]",https://surex.com/auto-insurance,Surex public callback route,Surex,callback,surex,Published carrier/MGA compensation disclosure.,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
thinkinsure,ThinkInsure,broker,standard_PPA,Full RIBO-licensed carrier list — request explicitly,https://thinkinsure.ca/auto-insurance/,ThinkInsure public sales line,ThinkInsure,human,thinkinsure,Traditional independent broker — web intake plus advisor completion. Same human-mediated nature as local_independent_broker below.,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
onlia,Onlia,broker,standard_PPA,"Multiple carriers — capture actual returned insurer, not brokerage brand",https://app.onlia.ca/#/auto/personal-info?Affinity_Group=Onlia,,Onlia,,onlia,"MVP ROUTE. Digital brokerage — self-generates a quote online, unlike a traditional independent broker. Real quoting-engine deep link confirmed (app.onlia.ca, separate from the marketing site). All 5 steps are now mapped: step 1 (Personal Info) from my own live DOM verification, steps 2-5 (Vehicle, Driver(s), main driver + contact, Get my quote) from my own real walkthrough of the full flow. Selectors past step 1 are best-effort from screenshots, not confirmed DOM ids — not yet run against the live site with real vault data. See worker/recipes/onlia.js.",active_mvp,2026-08-10,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
scoop,Scoop,broker,standard_PPA,Confirm full panel on live attempt,https://insurancescoop.com/,Scoop callback route,Scoop,callback,scoop,Digital brokerage and callback workflow.,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
pc_insurance,PC Insurance,broker,standard_PPA,Capture returned underwriter and eligibility discount,https://www.pcinsurance.ca/auto-insurance,,PC Insurance,,pc_insurance,Branded digital brokerage.,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
inova,Inova,broker,standard_PPA,Verify membership requirement and actual panel,https://www.inova.ca/,,Inova,membership,inova,Membership-based brokerage route.,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
insurancehotline,InsuranceHotline,broker,standard_PPA,"Lead/broker-network route, not itself the underwriter",https://www.insurancehotline.com/,,,,insurancehotline,Lead-generation route; verify which broker ultimately handles it.,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
local_independent_broker,Staebler Insurance,broker,standard_PPA,Full carrier list disclosed on request,https://www.staebler.com/get-a-quote/,Toll free 1-800-321-9187,Staebler Insurance,human,local_independent_broker,"MVP ROUTE, structurally different from the other MVP routes: a traditional independent broker doesn't return an instant automated quote — it hands over its carrier list and quote results on request, a human-mediated exchange. Confirmed directly by Staebler's own site, which describes this explicitly as a 3-step process (submit form -> get paired with a broker who calls -> broker compares and presents options). Recipe fills the lead form (name/email/phone/message) then stops at a human checkpoint before the final Submit click — see worker/recipes/local_independent_broker.js. Correct terminal status is manual_handoff/callback_required, never a fabricated firm quote.",active_mvp,2026-08-10,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
hagerty,Hagerty (collector),MGA_program,collector,"Administered separately, underwritten by Aviva per brief [13]",https://www.hagerty.ca/insurance,Hagerty public sales line,,,hagerty,Only applicable if vehicle/household meet program rules — not a daily-driver substitute.,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
agile,Agile Underwriting,MGA_program,unknown,Discovery lead from broker disclosures per brief [11][13],,,Via broker,human,agile,Count only after verifying it accepts an individual Ontario PPA risk relevant to my profile.,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
april_canada,APRIL Canada,MGA_program,unknown,Discovery lead from broker disclosures,,,Via broker,human,april_canada,Verify PPA relevance before counting.,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
burns_wilcox,Burns & Wilcox,MGA_program,unknown,Discovery lead from broker disclosures,,,Via broker,human,burns_wilcox,Verify PPA relevance before counting.,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
cambrian_special_risks,Cambrian Special Risks,MGA_program,unknown,Discovery lead from broker disclosures,,,Via broker,human,cambrian_special_risks,Verify PPA relevance before counting.,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
milnco,Milnco,MGA_program,unknown,Discovery lead from broker disclosures,,,Via broker,human,milnco,Verify PPA relevance before counting.,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
special_risk,Special Risk,MGA_program,unknown,Discovery lead from broker disclosures,,,Via broker,human,special_risk,Verify PPA relevance before counting.,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
nonstandard_echelon_jevco_pafco_coachman,Non-standard auto (Echelon/Jevco/Pafco/Coachman),MGA_program,nonstandard_PPA,Test through licensed broker routes when profile fits,,,Via broker,human,nonstandard_echelon_jevco_pafco_coachman,Only relevant if standard-market routes decline or rate poorly.,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
hnw_chubb_pure,High-net-worth (Chubb/PURE),MGA_program,high_net_worth,Verify through an appointed broker,,,Via appointed broker,human,hnw_chubb_pure,Do not count a market I cannot access.,unresolved,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
facility_association,Facility Association (residual),residual,unknown,Fallback for otherwise hard-to-place risks,,,Via licensed intermediary,human,facility_association,"Residual market, accessed only through a licensed intermediary for otherwise hard-to-place risks. As the applicant, I already know I qualify for the standard market, so there's no personal need to pursue this route for this build.",out_of_scope,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
ontario_mutuals,Ontario Mutuals (locator),mutual,unknown,"Commonwell, Gore, Heartland, Peel, Portage, Wawanesa and others per Appendix A",https://www.ontariomutuals.ca/,,Specific mutual via locator,human,ontario_mutuals,"Mutual carriers, reached via the Ontario Mutuals locator and validated per-mutual. Same reasoning as Facility Association: I qualify for the standard market, so this isn't relevant to my own shopping needs right now.",out_of_scope,,"Ontario All-Quote Agent Challenge participant brief, checked 2026-08-06"
